22212.bnode0.kaist.ac.kr|hong|1:ppn=64:xeonphi|1618364510|-1|1619500670.8045204
22297.bnode0.kaist.ac.kr|seunghh|1:ppn=1:ac|1618384006|-1|1619500670.8045204
22527.bnode0.kaist.ac.kr|kyeong_rim|1:ppn=16:ac|1618452663|-1|1619500670.8045204
22645.bnode0.kaist.ac.kr|skyljw0714|1:ppn=8:ac|1618592742|1619404666.0927215|1619500670.8045204
22649.bnode0.kaist.ac.kr|hong|2:ppn=8:ac|1618631025|-1|1619500670.8045204
22955.bnode0.kaist.ac.kr|ws1715|1:ppn=8:xeonphi|1619079943|1619278464.3050287|1619500670.8045204
22956.bnode0.kaist.ac.kr|ws1715|1:ppn=8:xeonphi|1619107718|1619278464.3050287|1619500670.8045204
22957.bnode0.kaist.ac.kr|ws1715|1:ppn=8:xeonphi|1619109330|1619278464.3050287|1619500670.8045204
23035.bnode0.kaist.ac.kr|mingyu|1:ppn=8:ac|1619051255|1619448896.3924515|1619500670.8045204
23039.bnode0.kaist.ac.kr|mingyu|1:ppn=16:ac|1619051365|1619278464.3050287|1619500670.8045204
23040.bnode0.kaist.ac.kr|mingyu|1:ppn=16:ac|1619051365|1619277929.626533|1619500670.8045204
23043.bnode0.kaist.ac.kr|mingyu|1:ppn=16:amd|1619051433|-1|1619500670.8045204
23044.bnode0.kaist.ac.kr|mingyu|1:ppn=16:amd|1619051434|1619278464.3050287|1619500670.8045204
23045.bnode0.kaist.ac.kr|mingyu|1:ppn=16:amd|1619051435|1619278464.3050287|1619500670.8045204
23129.bnode0.kaist.ac.kr|hong|1:ppn=16:ac|1619154344|1619278464.3050287|1619500670.8045204
23152.bnode0.kaist.ac.kr|ws1715|1:ppn=8:ac|1619153031|1619278464.3050287|1619500670.8045204
23176.bnode0.kaist.ac.kr|tjddbsdla|1:ppn=8:amd|1619158788|1619278464.3050287|1619500670.8045204
23177.bnode0.kaist.ac.kr|tjddbsdla|1:ppn=8:xeonphi|1619158837|1619278464.3050287|1619500670.8045204
23178.bnode0.kaist.ac.kr|tjddbsdla|1:ppn=8:xeonphi|1619158888|1619278464.3050287|1619500670.8045204
23179.bnode0.kaist.ac.kr|tjddbsdla|1:ppn=8:amd|1619225333|1619278464.3050287|1619500670.8045204
23180.bnode0.kaist.ac.kr|tjddbsdla|1:ppn=8:amd|1619225406|1619278464.3050287|1619500670.8045204
23228.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619165020|1619278464.3050287|1619500670.8045204
23229.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619165026|1619278464.3050287|1619500670.8045204
23230.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619169529|1619278464.3050287|1619500670.8045204
23231.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619173714|1619278464.3050287|1619500670.8045204
23232.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619181728|1619405229.8266525|1619500670.8045204
23233.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619181728|1619278464.3050287|1619500670.8045204
23234.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619181728|1619278464.3050287|1619500670.8045204
23235.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619181728|1619278464.3050287|1619500670.8045204
23236.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619195237|1619447201.8915956|1619500670.8045204
23237.bnode0.kaist.ac.kr|parkjunkil|1:ppn=4:ac|1619195237|1619418979.7555325|1619500670.8045204
23244.bnode0.kaist.ac.kr|hong|1:ppn=2:ac|1619188519|1619278464.3050287|1619500670.8045204
23245.bnode0.kaist.ac.kr|hong|1:ppn=2:ac|1619196530|1619405336.1139836|1619500670.8045204
23246.bnode0.kaist.ac.kr|hong|1:ppn=2:ac|1619196530|1619414643.2415435|1619500670.8045204
23717.bnode0.kaist.ac.kr|tjddbsdla|1:ppn=8:ac|1619238493|1619278464.3050287|1619500670.8045204
23718.bnode0.kaist.ac.kr|tjddbsdla|1:ppn=8:ac|1619238553|1619278464.3050287|1619500670.8045204
